business_name,latitude,longitude,formatted_address,location_type,location_id
2620 Clinton Ave W,34.7209019,-86.607953,"2620 Clinton Ave W, Huntsville, AL 35805, USA",premise,ChIJGTT_gptsYogR1GTVPW1tLCU
2506 AL-134,31.35731,-85.2896485,"2506 AL-134, Headland, AL 36345, USA",premise,ChIJ1ZakuvWXkogRRRu2MzJFJfU
1137 10th Pl S,33.4934205,-86.8116829,"1137 10th Pl S, Birmingham, AL 35205, USA",premise,ChIJk3kHruQbiYgRB_FEpPQoCu0
911 N Broadway Ave,33.18020449999999,-86.2510187,"911 N Broadway Ave, Sylacauga, AL 35150, USA",premise,ChIJATzo-F39i4gRWjNiNlRBZBM
Main Street,34.1590615,-85.70691049999999,"Main St, Centre, AL 35960, USA",route,ChIJ1xUeYphmiogRbdWmmPD4lnU
2601 S McKenzie St #442,30.3741568,-87.6809382,"2601 S McKenzie St #442, Foley, AL 36535, USA",subpremise,ChIJIdsJMDQOmogRH35Qj_rLbBw
13817 Shell Belt Rd,30.403142,-88.2492604,"13817 Shell Belt Rd, Bayou La Batre, AL 36509, USA",street_address,EjIxMzgxNyBTaGVsbCBCZWx0IFJkLCBCYXlvdSBMYSBCYXRyZSwgQUwgMzY1MDksIFVTQSIxEi8KFAoSCWPt86WhzpuIEUf3al7dipoSEPlrKhQKEgkNfyjCms6biBFP8s8T2vS9kQ
36561,30.2864876,-87.5692461,"Orange Beach, AL 36561, USA",postal_code,ChIJxw2YESyokIgRlYV-N3RLg2U
11007 US-231 431 n,34.82978509999999,-86.5722395,"11007 US-231 431 n, Huntsville, AL 35810, USA",subpremise,Ei0xMTAwNyBVUy0yMzEgNDMxIG4sIEh1bnRzdmlsbGUsIEFMIDM1ODEwLCBVU0EiIRofChYKFAoSCWfyRprxP2KIEVHLcCLlytASEgU0MzEgbg
445 Dexter Ave Suite 1010,32.3783877,-86.3029663,"445 Dexter Ave Suite 1010, Montgomery, AL 36104, USA",subpremise,ChIJ63Oo66GBjogRyN6tP9ZCmIM
1800 McFarland Blvd E,33.1946503,-87.52843949999999,"1800 McFarland Blvd E, Tuscaloosa, AL 35404, USA",premise,ChIJF_oGIjKoiIgR23S-hmH_yEQ
1720 Cherokee Ave SW,34.156101,-86.8373642,"1720 Cherokee Ave SW, Cullman, AL 35055, USA",premise,ChIJ12Y1oTTKiYgRfexzNIkajIo
951 Balch Rd,34.7433791,-86.76742,"951 Balch Rd, Madison, AL 35758, USA",premise,ChIJ0QD-EW5mYogRIV8AJpe5B8Q
820 Palmer Rd,34.6919429,-86.7860566,"820 Palmer Rd, Madison, AL 35758, USA",premise,ChIJwQ9bFlRkYogRCzhtN6HIyls
10304 US-31,30.6763404,-87.8299404,"10304 US-31, Spanish Fort, AL 36527, USA",street_address,EigxMDMwNCBVUy0zMSwgU3BhbmlzaCBGb3J0LCBBTCAzNjUyNywgVVNBIjESLwoUChIJEzamsm5omogR3OGpkX2ChREQwFAqFAoSCcFkSjBMZmSIEVViLZ8bXgW5
Maplesville,32.7884842,-86.8717757,"Maplesville, AL, USA",locality,ChIJ9ThT1MXYjogR8E3f34swH2k
1634 A Montgomery Hwy,33.3961963,-86.8065518,"1634 A Montgomery Hwy, Hoover, AL 35216, USA",subpremise,ChIJI4odGQoiiYgRP2LY4MJSHRQ
4821 Schillinger Rd S,30.5922206,-88.22471410000001,"4821 Schillinger Rd S, Mobile, AL 36619, USA",premise,ChIJbRjv8my0m4gRubaYOwLtr4s
4000 University Dr NW,34.73551339999999,-86.62791759999999,"4000 University Dr NW, Huntsville, AL 35816, USA",premise,ChIJjRDMVoRrYogRWQuBCZQY1UY
401 Fonville St,32.4243534,-85.6959177,"401 Fonville St, Tuskegee, AL 36083, USA",premise,ChIJcVSO9dlQjIgRJ89QDZAMWs8
108 Wind River Rd N,31.1074554,-87.47691720000002,"108 Wind River Rd N, Atmore, AL 36502, USA",premise,ChIJ55TWO9x2kIgRKtqEwIYMZxw
54 N Royal St #56,30.6935709,-88.0410847,"54 N Royal St #56, Mobile, AL 36602, USA",subpremise,Eig1NCBOIFJveWFsIFN0ICM1NiwgTW9iaWxlLCBBTCAzNjYwMiwgVVNBIh4aHAoWChQKEgkZY2TY2U-aiBGC8ptYQdOKdhICNTY
1529 Greenbrier Dear Rd,33.6297419,-85.8044815,"1529 Greenbrier Dear Rd, Anniston, AL 36207, USA",premise,ChIJD3qRz4Oxi4gRvKZKOKrA7ic
4520 Pinson Blvd,33.689917,-86.683059,"4520 Pinson Blvd, Pinson, AL 35126, USA",street_address,ChIJoX8GlxQJiYgR-5RI-cycmeY
9730 A Alabama Hwy 69 S,33.1184988,-87.55293130000001,"9730 A Alabama Hwy 69 S, Tuscaloosa, AL 35405, USA",subpremise,ChIJUyGTvsMBhogRVozg3tgeCr8
708 S Three Notch St,31.7967574,-85.97551,"708 S Three Notch St, Troy, AL 36081, USA",premise,ChIJzYGvblTsjYgRLnD369-j7Qg
3219 Point Mallard Pkwy SE,34.53729,-86.9125651,"3219 Point Mallard Pkwy SE, Decatur, AL 35603, USA",premise,ChIJxSLKS72AYogRceMg78r9bFk
334 E Washington Dr,34.7397311,-87.6215689,"334 E Washington Dr, Muscle Shoals, AL 35661, USA",premise,ChIJC0M_KKZOfYgRJ3KQD6TsVqQ
1505 E Park Ave,31.3069337,-85.82222589999999,"1505 E Park Ave, Enterprise, AL 36330, USA",premise,ChIJSezQMcJukogRbRo7WRJapZ0
501 Stimrad Rd,30.7262548,-88.0609328,"501 Stimrad Rd, Mobile, AL 36610, USA",premise,ChIJJ410_7lRmogRK-Ces1tGBmQ
1031 Brocks Gap Pkwy Suite 265,33.34580260000001,-86.849661,"1031 Brocks Gap Pkwy Suite 265, Birmingham, AL 35244, USA",subpremise,ChIJoft9Ag8hiYgRw0pRZZioJ2w
1350 S McKenzie St,30.3913752,-87.6837601,"1350 S McKenzie St, Foley, AL 36535, USA",premise,ChIJly417D0OmogRUEeiIE-t6hQ
2901 20th Ave,32.8450552,-85.1826124,"2901 20th Ave, Valley, AL 36854, USA",premise,ChIJp96iJISkjIgR-2s-6VKejEY
2075 Exchange St,32.3161652,-86.2212167,"2075 Exchange St, Montgomery, AL 36116, USA",premise,ChIJ05eE_NsqjIgRUZb201RY2Gg
3502 B,34.6956473,-86.584199,"3502 B, 3502 Memorial Pkwy SW, Huntsville, AL 35801, USA",premise,ChIJL5oHts1sYogROQw51N23oII
4570 Hermitage Rd,30.5958254,-88.1717315,"4570 Hermitage Rd, Mobile, AL 36619, USA",premise,ChIJVYjuiq20m4gRUzK7ST7T024
5250 Medford Dr #102,33.3561949,-86.85488269999999,"5250 Medford Dr #102, Hoover, AL 35244, USA",subpremise,ChIJ7Ws6rKkhiYgRb2z_JH9wJNY
2104 Rainbow Dr,33.9734775,-86.0165021,"2104 Rainbow Dr, Gadsden, AL 35901, USA",premise,ChIJNyfHl947iogRtNhjYq0uJIo
415 37th St N,33.5281614,-86.7829278,"415 37th St N, Birmingham, AL 35222, USA",street_address,ChIJw11uH6sbiYgR2I0nTm2PTUg
4900 AL-68,34.2175277,-85.60690869999999,"4900 AL-68, Cedar Bluff, AL 35959, USA",street_address,EiY0OTAwIEFMLTY4LCBDZWRhciBCbHVmZiwgQUwgMzU5NTksIFVTQSIxEi8KFAoSCcc5MmSDYoqIEQflqXzP5PVsEKQmKhQKEgmXNRdUM26KiBF4xOkgOE8Ngw
711 Woodward Ave,34.7537291,-87.6673091,"711 Woodward Ave, Muscle Shoals, AL 35661, USA",subpremise,ChIJzflrkNJIfYgRA1NwiV3eygw
2754 Dauphin St,30.6885565,-88.10646460000001,"2754 Dauphin St, Mobile, AL 36606, USA",premise,ChIJ1S-DRPJNmogRj2Py1qqiR2Q
1 E Interstate 65 Service Rd S,30.6877211,-88.1238893,"1 E Interstate 65 Service Rd S, Mobile, AL 36606, USA",street_address,ChIJRS5-RpNNmogRArK7Au1KruI
1607 E Commerce St,31.8342955,-86.59934349999999,"1607 E Commerce St, Greenville, AL 36037, USA",premise,ChIJj5kqtuo9jogRBooThzdn6gk
1001 Ryland Pike Suite i,34.7666792,-86.4540325,"1001 Ryland Pike Suite i, Huntsville, AL 35811, USA",subpremise,ChIJ__8PVQcXYogRr6co8dLy7BA
4439 Pinson Blvd,33.6882513,-86.6820594,"4439 Pinson Blvd, Pinson, AL 35126, USA",premise,ChIJo2Ey2hQJiYgR4d5Zh46_sd4
6006 US-90,30.5389132,-88.183071,"6006 US-90, Theodore, AL 36582, USA",premise,ChIJhdgiUj-1m4gR94Cf6QQQVlY
36331,31.3204544,-85.839922,"Enterprise, AL 36331, USA",postal_code,ChIJkXnskSNskogR8xBq4l-g4no
2206 Woodward Ave,34.7406851,-87.668088,"2206 Woodward Ave, Muscle Shoals, AL 35661, USA",premise,ChIJv7HxqjpPfYgR9KN80GO_kVA
24230 US-98,30.412429,-87.61156419999999,"24230 US-98, Elberta, AL 36530, USA",premise,ChIJE8qESVYJmogRfjN0xOERTek
2057 Valleydale Rd,33.3473276,-86.79014480000001,"2057 Valleydale Rd, Birmingham, AL 35244, USA",premise,ChIJtbwmxa0jiYgRNo88EbNLZ0E
542 Lee Rd 197 #6,32.4926134,-85.1501139,"542 Lee Rd 197 #6, Phenix City, AL 36870, USA",subpremise,Ei01NDIgTGVlIFJkIDE5NyAjNiwgUGhlbml4IENpdHksIEFMIDM2ODcwLCBVU0EiHRobChYKFAoSCddmv_tUxIyIEeB9qW0oeQ6MEgE2
9070 Memorial Pkwy NW #260,34.8054893,-86.57193199999999,"9070 Memorial Pkwy NW #260, Huntsville, AL 35810, USA",subpremise,EjU5MDcwIE1lbW9yaWFsIFBrd3kgTlcgIzI2MCwgSHVudHN2aWxsZSwgQUwgMzU4MTAsIFVTQSI6GjgKMRIvChQKEgnn8ZxRUBViiBGygNnob85TmxDuRioUChIJAU56QMpqYogRr-CLHySdMRsSAzI2MA
1801 Hwy 78 E,33.8451464,-87.2572854,"1801 Hwy 78 E, Jasper, AL 35501, USA",premise,ChIJkz9RTtdgiIgRadiDFG117AQ
1700 AL-21,33.6020869,-85.8349391,"1700 AL-21, Oxford, AL 36203, USA",premise,ChIJiw566SSxi4gRmN5OUCnS4Vo
203 S Hambrick St,34.26741690000001,-86.2120346,"203 S Hambrick St, Albertville, AL 35950, USA",premise,ChIJDX1fH9QciogRtPcWwYH9QJ0
1700 SpringHill Ave,30.6926589,-88.07842,"1700 SpringHill Ave, Mobile, AL 36604, USA",premise,ChIJLcwmhRxOmogRZUKpPW4jR4I
4704 Cahaba River Rd Suite A1,33.43212549999999,-86.737828,"4704 Cahaba River Rd Suite A1, Birmingham, AL 35243, USA",subpremise,ChIJ8Xi3ioYXiYgR8wZLT_8pkNc
Fort Mitchell,32.341536,-85.0215982,"Fort Mitchell, AL 36856, USA",locality,ChIJy7EERwLUjIgRH1skNc5kU-o
125 20th St S,33.5111215,-86.8031292,"125 20th St S, Birmingham, AL 35233, USA",subpremise,ChIJ28yYEpUbiYgRwadDBwOYMLA
820 S University Blvd # 2G,30.6606108,-88.1642102,"820 S University Blvd # 2G, Mobile, AL 36609, USA",subpremise,ChIJp0ioPixNmogR8pNZl50i8AE
8912 Parkway E,33.5817784,-86.7103588,"8912 Parkway E, Birmingham, AL 35206, USA",subpremise,ChIJF0aejdAPiYgRgHU2W5PDK70
801 20th St S,33.5047016,-86.7987217,"801 20th St S, Birmingham, AL 35294, USA",subpremise,ChIJWy7dbcEbiYgRf9mrZfd0jsI
643 US Hwy 72 W,34.788994,-86.97756079999999,"643 US Hwy 72 W, Athens, AL 35611, USA",subpremise,ChIJK4qpf3yLYogRrjoTTRe8--Q
1901 Hwy 31 SW,34.42476930000001,-86.92936879999999,"1901 Hwy 31 SW, Hartselle, AL 35640, USA",premise,ChIJ_yt6mR0riIgR8oI0_D1inZ0
2744 W Magnolia Ave,31.0553644,-85.90946679999999,"2744 W Magnolia Ave, Samson, AL 36477, USA",premise,ChIJq_5W-qFHkogRpBnvbKEXP0o
Bankhead Street,33.9039578,-88.1226253,"Bankhead St, Sulligent, AL 35586, USA",route,ChIJg8TwaA-ph4gRDL4LLf1SVxQ
209 20th St N,33.51584139999999,-86.8063365,"209 20th St N, Birmingham, AL 35203, USA",subpremise,ChIJM1yCupYbiYgRDaCAWP5QsMs
205 University Blvd E,33.2068578,-87.5336176,"205 University Blvd E, Tuscaloosa, AL 35401, USA",premise,ChIJ_12q8yOoiIgRZCyNdTrY2rU
Alabama 147,32.6350857,-85.49207539999999,"AL-147, Auburn, AL 36830, USA",route,Eh1BTC0xNDcsIEF1YnVybiwgQUwgMzY4MzAsIFVTQSIuKiwKFAoSCY-q9ELvjIyIEZd4sSiwPqizEhQKEglhIYxl4PCMiBGKeyW7ni6X0Q
653 Snow St,33.6152335,-85.8253714,"653 Snow St, Oxford, AL 36203, USA",street_address,ChIJPfpPJmuxi4gRn1aJFjtCblc
115 Franklin St NW,34.5060429,-87.7306254,"115 Franklin St NW, Russellville, AL 35653, USA",street_address,Ei8xMTUgRnJhbmtsaW4gU3QgTlcsIFJ1c3NlbGx2aWxsZSwgQUwgMzU2NTMsIFVTQSIwEi4KFAoSCR-niO5mWH2IEY46csZh1HOaEHMqFAoSCfMCCNBmWH2IEX6Na1jAfEYP
14369 Court St,34.4817748,-87.2914168,"14369 Court St, Moulton, AL 35650, USA",subpremise,ChIJb4VbKaagYogRM5sXEKKW1pA
155 Church St,30.688592,-88.0414285,"155 Church St, Mobile, AL 36602, USA",premise,ChIJcRHzgNpPmogRIA4Q78J9BEY
131 Citation Ct,33.4477338,-86.8455343,"131 Citation Ct, Homewood, AL 35209, USA",premise,ChIJvVpmPuEeiYgRxFLWjHcWNyw
300 S Section St,30.5167514,-87.9035658,"300 S Section St, Fairhope, AL 36532, USA",premise,ChIJx45LVoNAmogRIE1pqUjxDU4
445 Providence Main St NW STE 101,34.7541083,-86.6927793,"445 Providence Main St NW STE 101, Huntsville, AL 35806, USA",subpremise,ChIJL089SxhpYogRBBySntlAkFg
4879 AL-94,32.050264,-86.2235714,"4879 AL-94, Ramer, AL 36069, USA",premise,ChIJN9qlf93YjYgRxrXUmg77ns8
1515 12th Ave S,33.4960783,-86.8023583,"1515 12th Ave S, Birmingham, AL 35205, USA",premise,ChIJfemdj-cbiYgR0DPg1sIN6fA
Westchester Drive,34.684409,-86.76652539999999,"Westchester Dr, Madison, AL 35758, USA",route,ChIJM12hKwplYogRf62GDb_gc7E
2415 E South Blvd,32.3292681,-86.25926799999999,"2415 E South Blvd, Montgomery, AL 36116, USA",premise,ChIJ0wDTLCeAjogRuTHLvtST58U
744 29th St S,33.5104763,-86.7864989,"744 29th St S, Birmingham, AL 35233, USA",premise,ChIJ1XE13LUbiYgRSx-SPrrAuB8
204 Bolinger St,34.2758621,-86.2072714,"204 Bolinger St, Albertville, AL 35950, USA",subpremise,ChIJJ0B-oy0DiogR5X-5-I69fuU
495 Old Lock Rd,32.20817,-88.0463812,"495 Old Lock Rd, Pennington, AL 36916, USA",premise,ChIJW9qq1qsFhYgRN_6_UoUpGCo
12891 Main St,30.4128947,-87.5985863,"12891 Main St, Elberta, AL 36530, USA",premise,ChIJry7UCGAJmogRdSZcHoAMEf8
251 N Craft Hwy,30.7654146,-88.0755903,"251 N Craft Hwy, Chickasaw, AL 36611, USA",premise,ChIJHYJr9WlRmogR_qxv2jD6gMI
1529 US Hwy 72 E,34.7920301,-86.99561469999999,"1529 US Hwy 72 E, Athens, AL 35611, USA",premise,ChIJqarhJY6MYogRJRGW-iuY5OI
2721 5th Ave S,33.5127679,-86.7907275,"2721 5th Ave S, Birmingham, AL 35233, USA",premise,ChIJD1yhbLcbiYgROgEfN66kvUc
349 Fairwood Blvd,30.5298446,-87.89828109999999,"349 Fairwood Blvd, Fairhope, AL 36532, USA",premise,ChIJmfBjk4tAmogRKGhRWOGM3LM
3801 Day St,32.3691933,-86.34941889999999,"3801 Day St, Montgomery, AL 36108, USA",premise,ChIJ8yLMsMeGjogROocNQ1paaLI
1912 Ross Clark Cir,31.1915977,-85.3878987,"1912 Ross Clark Cir, Dothan, AL 36301, USA",premise,ChIJSyR2iC-TkogRTzUgJ4azsrY
426 AL-69,34.0507179,-86.8725755,"426 AL-69, Hanceville, AL 35077, USA",premise,ChIJ9c5tjO20iYgRif6dWEKL5RU
658 Government St,30.6877801,-88.0501768,"658 Government St, Mobile, AL 36602, USA",premise,ChIJPw-gxtJPmogRi7XuPpIiZ8E
5850 AL-53,34.8463845,-86.7108255,"5850 AL-53, Harvest, AL 35749, USA",premise,ChIJe7GIBO5CYogRyslrxhMWWyA
600 Lurleen B Wallace S Blvd,33.2082607,-87.57116839999999,"600 Lurleen B Wallace S Blvd, Tuscaloosa, AL 35401, USA",premise,ChIJS-tHZuYChogRsNfKeifMlmo
3215C Joe Treadwell Dr,30.6737119,-88.1212641,"3215C Joe Treadwell Dr, Mobile, AL 36606, USA",subpremise,ChIJ_csX8qJNmogRYx9Byv_WZnk
2710 J T Morton Dr,33.5518261,-86.2699047,"2710 J T Morton Dr, Pell City, AL 35128, USA",street_address,EiwyNzEwIEogVCBNb3J0b24gRHIsIFBlbGwgQ2l0eSwgQUwgMzUxMjgsIFVTQSIxEi8KFAoSCR3N3PGwYomIEfb6Yv9wN7zFEJYVKhQKEgmzBzQ0uWKJiBFm_JlS-RkSxw
301 S Ripley St,32.3750374,-86.29725839999999,"301 S Ripley St, Montgomery, AL 36104, USA",premise,ChIJYxDFinWBjogRpyVerdipVsI
3500 McFarland Blvd,33.2409065,-87.592152,"3500 McFarland Blvd, Northport, AL 35476, USA",premise,ChIJKX9cJswchogRHM8py0ARpu8
806 6th Ave SE,34.5961813,-86.97993319999999,"806 6th Ave SE, Decatur, AL 35601, USA",premise,ChIJqy5Nq4OGYogRWzCBAJBlnbc
518 Dauphin St,30.68967,-88.04859719999999,"518 Dauphin St, Mobile, AL 36602, USA",premise,ChIJv_E2CNNPmogR6gCS4AavI3k
7086 Hwy 72 W,34.7556169,-86.7112776,"7086 Hwy 72 W, Huntsville, AL 35806, USA",premise,ChIJQbvmJuZoYogRUiFW_IhCWVw
42 Manning Pl,33.4075564,-86.63015449999999,"42 Manning Pl, Birmingham, AL 35254, USA",subpremise,ChIJ7bGVb5oViYgR1KnOToSbBKw
214 Haynes St,33.4385663,-86.0803201,"214 Haynes St, Talladega, AL 35160, USA",premise,ChIJnb80YznDi4gRXcwZ86i6fUw
601 Dothan Hwy,31.1037146,-85.6866847,"601 Dothan Hwy, Hartford, AL 36344, USA",premise,ChIJJy94mQFckogRuDQJQQDJXjg
436 Green Springs Hwy,33.4629801,-86.8200683,"436 Green Springs Hwy, Homewood, AL 35209, USA",premise,ChIJr0jvDzUZiYgRMBT2vP0i2vQ
501 Glover St,34.2748543,-86.2036569,"501 Glover St, Albertville, AL 35950, USA",premise,ChIJo5ko-jIDiogROQF9pWJldNU
701 1st St N,33.2515412,-86.8150495,"701 1st St N, Alabaster, AL 35007, USA",street_address,ChIJpTaEedoliYgRtn5XH06NMZ8
707 S George Wallace Dr,31.7844354,-85.95386169999999,"707 S George Wallace Dr, Troy, AL 36081, USA",premise,ChIJbe46GxntjYgR3gvsQdnCcIY
120 Executive Park Ln,32.4263649,-87.0565019,"120 Executive Park Ln, Selma, AL 36701, USA",premise,ChIJR9412fAFj4gRX8PpuZmTtOc
450 Industrial Park,34.5887469,-86.06106539999999,"450 Industrial Park, Scottsboro, AL 35769, USA",premise,ChIJgZF3ewXlYYgRZcMfFAutrpQ
3322 Memorial Pkwy SW #505,34.6971025,-86.5845466,"3322 Memorial Pkwy SW #505, Huntsville, AL 35801, USA",subpremise,ChIJ8fUdPMxsYogRROf6r5Rn7uo
177 W Main St,32.4597651,-86.4754895,"177 W Main St, Prattville, AL 36067, USA",premise,ChIJL7Ux4EOOjogRDppHRSp8mhY
2A,34.7369373,-86.64716589999999,"2A, 4710 University Dr NW, Huntsville, AL 35816, USA",street_address,ChIJb5ahlvFrYogR5-M_38ouyr4
3440 Martin St S #14,33.5389025,-86.2842941,"3440 Martin St S #14, Cropwell, AL 35054, USA",subpremise,Ei0zNDQwIE1hcnRpbiBTdCBTICMxNCwgQ3JvcHdlbGwsIEFMIDM1MDU0LCBVU0EiHhocChYKFAoSCUdRsTLoYomIEaRdHrZeZlOXEgIxNA
2337 University Blvd E,33.2060084,-87.50694969999999,"2337 University Blvd E, Tuscaloosa, AL 35404, USA",premise,ChIJk61TeFyoiIgRW7QQE17Kn8w
118a Saraland Blvd S,30.81888829999999,-88.0706251,"118a Saraland Blvd S, Saraland, AL 36571, USA",street_address,ChIJJaUeU5NWmogRcl_Ms5p_IBM
1000 W Eastdale Mall,32.3852392,-86.206002,"1000 W Eastdale Mall, Montgomery, AL 36117, USA",premise,ChIJGdVSsdArjIgRvq5l6c1ahmA
2721 Cahaba Rd,33.4841147,-86.7735685,"2721 Cahaba Rd, Mountain Brook, AL 35223, USA",premise,ChIJG_l-uocZiYgRYxnK65YPcJw
4407 Old Shell Rd d,30.697091,-88.1431815,"4407 Old Shell Rd d, Mobile, AL 36608, USA",subpremise,Eio0NDA3IE9sZCBTaGVsbCBSZCBkLCBNb2JpbGUsIEFMIDM2NjA4LCBVU0EiHRobChYKFAoSCdVZqzpiTZqIETLIb9njgajaEgFk
117 E Grand Ave,33.9534207,-86.0397302,"117 E Grand Ave, Rainbow City, AL 35906, USA",premise,ChIJV95Y-Ew6iogRhhFDj0SmwBg
1622 Pepperell Pkwy,32.6398055,-85.39553080000002,"1622 Pepperell Pkwy, Opelika, AL 36801, USA",premise,ChIJL2kK9ymTjIgRrJpfA4kawbQ
127 St Joseph Ave,31.1043066,-87.0721102,"127 St Joseph Ave, Brewton, AL 36426, USA",premise,ChIJ3UoE_Y9FkIgRY_xcSsRFIN4
8691 Old Pascagoula Rd,30.5459955,-88.246937,"8691 Old Pascagoula Rd, Theodore, AL 36582, USA",premise,ChIJ0ak5EXa2m4gRcuXNULjoFgQ
3921 Cottage Hill Rd,30.6528162,-88.1392992,"3921 Cottage Hill Rd, Mobile, AL 36609, USA",street_address,ChIJ-yDMVR1NmogR3hVYXtgOwVg
Alabama 17 & Bb Bragg Road,32.39171700000001,-88.202045,"AL-17 & Bb Bragg Rd, Alabama 36925, USA",intersection,EidBTC0xNyAmIEJiIEJyYWdnIFJkLCBBbGFiYW1hIDM2OTI1LCBVU0EiZiJkChQKEglzGJcr_FSEiBE18VqzfuX-8BIUChIJcxiXK_xUhIgRNfFas37l_vAaFAoSCVmiD_INxYWIEZOWgKOwZROpGhQKEgn1l1FdFVWEiBHWewCs6JfuMSIKDXKVThMVnm9tyw
